ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1228_N,P1228_NOM,P1228_TIPO,P1229,OMICAP1200_EQUIPO
2022.0,21,PUNO,02,AZANGARO,03,ARAPA,17194,00106,13,Completa,Sierra,Sierra Sur,174.34183673469389,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,03,ARAPA,17194,00108,14,Completa,Sierra,Sierra Sur,174.34183673469389,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,03,ARAPA,17194,00113,15,Completa,Sierra,Sierra Sur,174.34183673469389,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,06,CHUPA,17213,00005,1,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,06,CHUPA,17213,00008,2,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,06,CHUPA,17213,00012,3,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,06,CHUPA,17213,00024,5,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,06,CHUPA,17213,00029,6,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,06,CHUPA,17213,00039,7,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,06,CHUPA,17213,00053,8,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
